"TOP 30 - ESB",Count
"/infraestrutura/transicao/relacionar/atendimento/IdentificarContratos11V1",29846
"/ativar/aprovisionamento/ordemativacaostatus/OrdemAtivacaoStatus12V1",15063
"/ativar/aprovisionamento/ordemativacao/OrdemAtivacao12V1",15012
"/vender/produto/consulta/ConsultarPacoteContratado",11749
"/seguranca/autenticacao/Usuario11V1?WSDL",9532
"/relacionar/atendimento/fatura/Fatura12V1",9050
"/vender/produto/consulta/ConsultarALaCarteContratado",8901
"/relacionar/atendimento/protocolo/AssociarProtocoloAtendimento11",8768
"/relacionar/atendimento/protocolo/Protocolo12V3",7462
"/relacionar/cliente/clienteclaro/ClienteClaro12V2",6697
"/Infraestrutura/Equipamento/EquipamentosContratoProxy",6125
"/relacionar/atendimento/envioprotocolo/EnvioProtocolo12V1",5911
"/infraestrutura/rede/instalacao/Instalacao12V1",5218
"/relacionar/cliente/dadocobranca/DadoCobranca12V1",5056
"/Faturar/Emissao/Fatura/GerarCopiaFatura12v3",4721
"/Infraestrutura/Equipamento/EquipamentosContratoProxy?WSDL",4366
"/enterprise/organizacional/operadoranet/OperadoraNET12V1",4069
"/seguranca/autenticacao/UsuarioBanco12V1?WSDL",3533
"/Infraestrutura/rede/node/Node12V1",3432
"/Infraestrutura/Equipamento/EquipamentoProxy",2994
"/vender/venda/checagemcredito/ChecagemCredito12V2",2867
"/relacionar/atendimento/fatura/Fatura12V2",2194
"/relacionar/atendimento/contratovenda/ContratoVenda12V2",2163
"/infraestrutura/transicao/relacionar/atendimento/IdentificarContratos11V1/",2091
"/relacionar/atendimento/fatura/Fatura11V1/",1994
"/relacionar/atendimento/protocolo/GerarProtocoloAtendimento11",1822
"/ativar/roteamento/agendamento/DisponibilidadePeriodo11V1",1722
"/relacionar/atendimento/protocolo/GerarProtocoloAtendimento12",1408
"/Infraestrutura/Equipamento/EquipamentoProxy11?WSDL",1338
"/Infraestrutura/Equipamento/Sinal/ProxyService/MedirSinal11V1_0",1269
"/relacionar/atendimento/envioprotocolo/EnvioProtocolo11V1",1179
"/ativar/roteamento/agendamento/AgendaOS11V1",1109
"/ativar/roteamento/agendamento/AgendaOS12V1",1026
"/ativar/roteamento/agendamento/DisponibilidadePeriodo12V1",997
"/relacionar/atendimento/protocolo/Protocolo11V2",993
"/vender/venda/checagemcredito/ConsultaSerasa12V2",991
"/ativar/aprovisionamento/ordemconfiguracao/proxyservice/IncluirOCManutencao12V1",958
"/Faturar/Emissao/Fatura/GerarCopiaFatura12v3/",889
"/NETDespachoWLIWeb/br/com/netservicos/despacho/processos/ExecutarBaixaOS.jpd",860
"/Infraestrutura/Equipamento/EquipamentosContratoProxy11?WSDL",730
"/relacionar/cliente/dadoscontrato/ConsultarContrato12V1",712
"/Relacionar/Atendimento/Portabilidade/IntegracaoEmbratel/PortabilidadeNumerica",705
"/relacionar/atendimento/IncluirRegistroContato12V2",699
"/ativar/aprovisionamento/mediacao/Mediacao12V1",693
"/ativar/despacho/ordemcampo/OrdemCampo12V2",631
"/NETDespachoWLIWeb/br/com/netservicos/despacho/processos/LiberarReagendamentoOS.jpd",610
"/ativar/roteamento/agendamento/OSCasada12V1",547
"/relacionar/atendimento/requisicao/proxyservice/IncluirRequisicaoInterna12V1",431
"/ativar/aprovisionamento/controlefranquias/ControleFranquias12V1",415
"/infraestrutura/transicao/relacionar/atendimento/IdentificarContratos12V2",394
"/relacionar/cliente/reciborelacionamento/ReciboRelacionamento12V1",357
"/general/TransformaIdentificacaoContrato12V1?wsdl",346
"/general/netsmsdatabaseconfig/NETSMSOperadora?wsdl",337
"/ativar/aprovisionamento/ordemconfiguracao/proxyservice/IncluirOCManutencao12V1/incluirComandoManutencaoRequest?wsdl",331
"/NETAprovisionamentoWLIWeb/br/com/netservicos/aprovisionamento/processos/IncluirOCManutencao.jpd",329
"/ativar/aprovisionamento/parceiro/InformarAtivacao12",318
"/infraestrutura/transicao/relacionar/atendimento/ListarPontoContrato11V1?wsdl",313
"/relacionar/cliente/reciborelacionamento/ReciboRelacionamento11V1",306
"/ativar/despacho/ordemservico/proxyservice/ExecutarBaixaOS12V2",281
"/faturar/pagamento/operadoracartao/OperadoraCartaoCredito12V2",273
"/faturar/pagamento/pagamentofatura/PagamentoFatura12V2?WSDL",272
"/Infraestrutura/Equipamento/DesinstalarEquipamentoProxy11?WSDL",265
"/relacionar/atendimento/contratovenda/ContratoVenda11V2?wsdl",262
"/ativar/roteamento/agendamento/BloqueioAgenda12V1",251
"/ativar/aprovisionamento/parceiro/ReceberConfirmacaoAtivacao12",224
"/relacionar/atendimento/clienteprospect/ClienteProspect12V1",215
"/ativar/despacho/material/proxyservice/Material11V1",201
"/ativar/roteamento/agendamento/BloqueioAgenda11V1",199
"/Faturar/Emissao/Fatura/GerarCopiaFatura12v3/gerarCopiaFatura",196
"/ativar/despacho/material/proxyservice/MaterialWA",154
"/ativar/despacho/ordemservico/proxyservice/ExecutarBaixaOS12V1",142
"/Infraestrutura/Equipamento/InstalarEquipamentoProxy11?WSDL",138
"/relacionar/atendimento/diagnostico/Diagnostico12V1",137
"/ativar/aprovisionamento/controlefranquias/ControleFranquias12V1?WSDL",136
"/relacionar/cliente/parceiro/ReceberConfirmacaoAlteracao12",133
"/ativar/aprovisionamento/parceiro/InformarSituacaoServico12",130
"/ativar/despacho/ordemservico/proxyservice/ExecutarBaixaOSClaroActivia12V1",126
"/ativar/roteamento/ordemcampo/IncluirOSServicoManutencao12V2",119
"/relacionar/atendimento/contratovenda/ContratoVenda12V2?wsdl",111
"/Infraestrutura/Equipamento/EquipeProxy",109
"/faturar/integracao/pagamento/IntegracaoParceiroMeiosPagamento",104
"/faturar/pagamento/pagamentofatura/PagamentoFatura12V3",104
"/relacionar/cliente/avisorelacionamento/AvisoRelacionamento12V1",104
"/integracao/infraestrutura/equipamento/AtualizarEquipamentoControladoraProxy12V1_0",100
"/relacionar/cliente/pacotecontratado/PacoteContratado12V2",92
"/vender/venda/portabilidade/consultaDadosTelefonia",89
"/ativar/aprovisionamento/parceiro/InformarDesconexaoServico12",83
"/ativar/aprovisionamento/parceiro/ReceberConfirmacaoDesconexao12",82
"/Infraestrutura/Equipamento/OrdemServicoProxy11?WSDL",81
"/vender/venda/parceiro/InformarAlteracaoPlanoComercial12",72
"/Infraestrutura/Equipamento/TrocarEquipamentoProxy11?WSDL",71
"/relacionar/cliente/smspublicitario/SmsPublicitario12V1?wsdl",68
"/relacionar/cliente/parceiro/InformarAlteracaoDadosCadastrais11",57
"/relacionar/atendimento/protocolo/AssociarProtocoloAtendimento12V2",55
"/relacionar/cliente/dadocobranca/DadoCobranca12V1?WSDL",52
"/NETAtendimentoWLIWeb/br/com/netservicos/atendimento/processos/IncluirRequisicaoInterna.jpd",50
"/NETRoteamentoWLIWeb/br/com/netservicos/roteamento/processos/IncluirOSServicoManutencao.jpd",48
"/Vender/Venda/Portabilidade/ValidarAreaLocal",45
"/relacionar/atendimento/historicoatendimento/HistoricoAtendimento12V1",44
"/relacionar/cliente/ClienteEmbratel12V1",41
