"Top 30 WLI",Count
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/AgendarVisitaTecnicaCasada.jpd",15030
"/NETAprovisionamentoWLIWeb/OrdemAtivacaoStatusJWS",7579
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/GerarOcorrenciaPrazo.jpd",6057
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/contrato/ListarPontoContrato.jpd/listarPontoContratoRequest",5692
"/NETAprovisionamentoWLIWeb/OrdemAtivacaoJWS",5147
"/NETAprovisionamentoWLIWeb/MediacaoJWS",1258
"/NETRoteamentoWLIWeb/br/com/netservicos/ativar/roteamento/jws/DisponibilidadePeriodoNETSMSJWS",1066
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/contrato/IdentificarContratoCpf.jpd",956
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/contrato/ListarPontoContrato.jpd",902
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/IncluirPromessaPagamento.jpd/inserirPromessaPagamentoRequest",852
"/NETRoteamentoWLIWeb/br/com/netservicos/ativar/roteamento/jws/SplitterAgendaNETSMSJWS",736
"/NETVendaWLIWeb/ChecagemCreditoJWSV2_0",702
"/NETDespachoWLIWeb/br/com/netservicos/despacho/processos/ExecutarBaixaOS.jpd",379
"/NETDespachoWLIWeb/br/com/netservicos/despacho/processos/HomeGatewayOS.jpd",369
"/NETDespachoWLIWeb/br/com/netservicos/despacho/processos/ValidarOSPortabilidadeJPD1_1.jpd",318
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/IncluirPromessaPagamento.jpd",297
"/PortabilidadeWEB/br/com/netservicos/portabilidade/servicosinternos/log/LogarMensagemPortabilidade.jpd",167
"/NETRoteamentoWLIWeb/br/com/netservicos/ativar/roteamento/jws/MontarGrupoEntidadeAgendavelJWS",146
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/contrato/IdentificarContratos.jpd",133
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/contrato/IdentificarContratoComplemento.jpd",116
"/NETDespachoWLIWeb/br/com/netservicos/despacho/jws/MaterialBaixarJPDV1ProcessControlJWS",105
"/NETAtendimentoWLIWeb/br/com/netservicos/atendimento/jws/IncluirRegistroContatoJWSV2_0",103
"/NETDespachoWLIWeb/ServicoPortabilidadeWS1_1",83
"/NETDespachoWLIWeb/br/com/netservicos/despacho/processos/LiberarReagendamentoOS.jpd",78
"/NETAtendimentoWLIWeb/ContratoVendaJWS",66
"/NETAtenderWLWeb/br/com/netservicos/atender/processos/AlterarDataVencimento.jpd",54
"/NETAtendimentoWLIWeb/DiagnosticoJWS",48
"/PortabilidadeWEB/br/com/netservicos/portabilidade/servicosinternos/FormataSaidaAuxilioVenda.jpd",48
"/NETAtendimentoWLIWeb/br/com/netservicos/atendimento/processos/IncluirRequisicaoInterna.jpd",47
"/NETAtenderWLWeb/br/com/netservicos/vender/processos/ConsultarBancoDataCobranca.jpd",46
